epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
149,9244.37,0.7508,0.37012,0.92601,0.98812,0.99359,0.99472,0.77284,0.87197,0.31875,0.97948,0.000800963,0.000800963,0.000800963
150,9307.65,0.75673,0.37096,0.92356,0.98582,0.99333,0.99451,0.77422,0.86926,0.31929,0.98187,0.000798464,0.000798464,0.000798464
151,9370.54,0.76684,0.37909,0.9256,0.98896,0.9947,0.995,0.7782,0.86447,0.31643,0.97834,0.000795954,0.000795954,0.000795954
152,9432.94,0.76397,0.38049,0.92763,0.98588,0.99486,0.99407,0.77794,0.87472,0.31704,0.97834,0.000793432,0.000793432,0.000793432
153,9496.43,0.75133,0.37298,0.92637,0.98668,0.99514,0.995,0.77351,0.88285,0.31591,0.98336,0.000790898,0.000790898,0.000790898
154,9559.84,0.75397,0.37177,0.92835,0.98944,0.99803,0.995,0.78108,0.88114,0.31388,0.9846,0.000788354,0.000788354,0.000788354
155,9623.04,0.76081,0.37514,0.93002,0.98803,0.99544,0.995,0.77318,0.87485,0.31143,0.98313,0.000785798,0.000785798,0.000785798
156,9686.51,0.75091,0.37458,0.92545,0.98322,0.99415,0.99488,0.7777,0.8849,0.31648,0.9865,0.000783231,0.000783231,0.000783231
157,9750.02,0.75557,0.36841,0.92617,0.98423,0.99234,0.995,0.78239,0.88254,0.31493,0.98524,0.000780653,0.000780653,0.000780653
158,9812.26,0.74527,0.36831,0.92168,0.9858,0.99317,0.995,0.77688,0.88723,0.30997,0.98866,0.000778065,0.000778065,0.000778065
159,9876.11,0.75441,0.37447,0.92769,0.98596,0.99299,0.995,0.77757,0.87727,0.31158,0.98481,0.000775465,0.000775465,0.000775465
160,9939.9,0.73629,0.36076,0.91857,0.9847,0.9932,0.995,0.77987,0.8751,0.31067,0.98459,0.000772855,0.000772855,0.000772855
161,10004,0.74883,0.3694,0.92253,0.98471,0.9931,0.995,0.77967,0.86861,0.31083,0.98114,0.000770234,0.000770234,0.000770234
162,10066.9,0.73778,0.36369,0.92076,0.98753,0.99027,0.995,0.77925,0.87626,0.30635,0.98433,0.000767603,0.000767603,0.000767603
163,10130.4,0.74265,0.36824,0.91991,0.98532,0.99299,0.995,0.78126,0.86976,0.30653,0.98306,0.000764961,0.000764961,0.000764961
164,10193.4,0.74554,0.35948,0.92458,0.98905,0.99624,0.995,0.7763,0.87318,0.30395,0.98563,0.00076231,0.00076231,0.00076231
165,10256.4,0.73645,0.36754,0.92508,0.98334,0.99577,0.995,0.77971,0.87587,0.30533,0.98646,0.000759648,0.000759648,0.000759648
166,10319.4,0.73301,0.35829,0.91804,0.98639,0.99078,0.995,0.77609,0.87727,0.31272,0.99042,0.000756976,0.000756976,0.000756976
